,bottomtrawlers,purseseinerspelagictrawlers,mixedartisanalgears,longliners,tunapurseseiners,othersandunknown
Alosaalosa,0,0,0,0,0,0
Alosafallax,0,0,0,0,0,0
Caranxcrysos,0,0,0,0,0,0
Zosteuphausiids,0,0,0,0,0,0
Chelidonichthyslucerna,0,0,0,0,0,0
Corisjulis,0,0,0,0,0,0
Coryphaenahippurus,0,0,0,0,0,0
Crangoncrangon,0,0,0,0,0,0
Crystallogobiuslinearis,0,0,0,0,0,0
Dentexdentex,0,0,0,0,0,0
Dentexgibbosus,0,0,0,0,0,0
Dentexmaroccanus,0,0,0,0,0,0
Dicentrarchuslabrax,0,0,0,0,0,0
Anguillaanguilla,0,0,0,0,0,0
Diplodusannularis,0,0,0,0,0,0
Diploduscervinus,0,0,0,0,0,0
Diploduspuntazzo,0,0,0,0,0,0
Diplodussargussargus,0,0,0,0,0,0
Diplodusvulgaris,0,0,0,0,0,0
Eledonecirrhosa,0,0,0,0,0,0
Engraulisencrasicolus,0,0,0,0,0,0
Epinephelusaeneus,0,0,0,0,0,0
Epinephelusmarginatus,0,0,0,0,0,0
Etrumeusteres,0,0,0,0,0,0
Argyrosomusregius,0,0,0,0,0,0
Eutriglagurnardus,0,0,0,0,0,0
Galeusmelastomus,0,0,0,0,0,0
Gobiusniger,0,0,0,0,0,0
Halobatrachusdidactylus,0,0,0,0,0,0
Illexcoindetii,0,0,0,0,0,0
Lepidorhombuswhiffiagonis,0,0,0,0,0,0
Lizaaurata,0,0,0,0,0,0
Lizaramada,0,0,0,0,0,0
Lizasaliens,0,0,0,0,0,0
Loligovulgaris,0,0,0,0,0,0
Aristaeomorphafoliacea,0,0,0,0,0,0
Lophiusbudegassa,0,0,0,0,0,0
Lophiuspiscatorius,0,0,0,0,0,0
Merlangiusmerlangus,0,0,0,0,0,0
Merlucciusmerluccius,0,0,0,0,0,0
Micromesistiuspoutassou,0,0,0,0,0,0
Mugilcephalus,0,0,0,0,0,0
Mullusbarbatusbarbatus,0,0,0,0,0,0
Mullussurmuletus,0,0,0,0,0,0
Mustelusmustelus,0,0,0,0,0,0
Nephropsnorvegicus,0,0,0,0,0,0
Aristeusantennatus,0,0,0,0,0,0
Octopusvulgaris,0,0,0,0,0,0
Pagellusacarne,0,0,0,0,0,0
Pagelluserythrinus,0,0,0,0,0,0
Pagruspagrus,0,0,0,0,0,0
Palaemonserratus,0,0,0,0,0,0
Palinuruselephas,0,0,0,0,0,0
Parapenaeuslongirostris,0,0,0,0,0,0
Penaeuskerathurus,0,0,0,0,0,0
Phycisphycis,0,0,0,0,0,0
Platichthysflesusflesus,0,0,0,0,0,0
Atherinaboyeri,0,0,0,0,0,0
Pleuronectesplatessa,0,0,0,0,0,0
Pomatomussaltatrix,0,0,0,0,0,0
Pomatoschistusmarmoratus,0,0,0,0,0,0
Pomatoschistusminutus,0,0,0,0,0,0
Rhinobatosrhinobatos,0,0,0,0,0,0
Sardasarda,0,0,0,0,0,0
Sardinapilchardus,0,0,0,0,0,0
Sardinellaaurita,0,0,0,0,0,0
Sauridaundosquamis,0,0,0,0,0,0
Sciaenaumbra,0,0,0,0,0,0
Auxisrocheirochei,0,0,0,0,0,0
Scomberjaponicus,0,0,0,0,0,0
Scomberscombrus,0,0,0,0,0,0
Scophthalmusmaximus,0,0,0,0,0,0
Scorpaenanotata,0,0,0,0,0,0
Scyliorhinuscanicula,0,0,0,0,0,0
Sepiaofficinalis,0,0,0,0,0,0
Serioladumerili,0,0,0,0,0,0
Serranusatricauda,0,0,0,0,0,0
Soleasolea,0,0,0,0,0,0
Sparusaurata,0,0,0,0,0,0
Belonebelone,0,0,0,0,0,0
Sphyraenasphyraena,0,0,0,0,0,0
Sphyraenaviridensis,0,0,0,0,0,0
Spicaramaena,0,0,0,0,0,0
Spicarasmaris,0,0,0,0,0,0
Spondyliosomacantharus,0,0,0,0,0,0
Sprattussprattus,0,0,0,0,0,0
Squillamantis,0,0,0,0,0,0
Stephanolepisdiaspros,0,0,0,0,0,0
Thunnusalalunga,0,0,0,0,0,0
Thunnusthynnus,0,0,0,0,0,0
Boopsboops,0,0,0,0,0,0
Trachurusmediterraneus,0,0,0,0,0,0
Trachuruspicturatus,0,0,0,0,0,0
Trachurustrachurus,0,0,0,0,0,0
Trachyrincusscabrus,0,0,0,0,0,0
Triglalyra,0,0,0,0,0,0
Trisopterusluscus,0,0,0,0,0,0
Trisopterusminutus,0,0,0,0,0,0
Upeneusmoluccensis,0,0,0,0,0,0
Xiphiasgladius,0,0,0,0,0,0
Zosterisessorophiocephalus,0,0,0,0,0,0
